g,date,opponent,outcome,w,l,pts,opts,team_master,team_abbrev,season
48,"Fri, Feb 2, 2001",Los Angeles Lakers,L,25,23,87,93,CHA,CHH,2001
49,"Sun, Feb 4, 2001",Phoenix Suns,L,25,24,82,85,CHA,CHH,2001
50,"Tue, Feb 6, 2001",Orlando Magic,L,25,25,83,109,CHA,CHH,2001
51,"Thu, Feb 8, 2001",Atlanta Hawks,W,26,25,101,84,CHA,CHH,2001
52,"Tue, Feb 13, 2001",Indiana Pacers,W,27,25,77,66,CHA,CHH,2001
53,"Fri, Feb 16, 2001",Los Angeles Lakers,L,27,26,94,99,CHA,CHH,2001
54,"Sat, Feb 17, 2001",Milwaukee Bucks,W,28,26,103,93,CHA,CHH,2001
55,"Thu, Feb 22, 2001",Golden State Warriors,W,29,26,93,91,CHA,CHH,2001
56,"Sat, Feb 24, 2001",Philadelphia 76ers,W,30,26,86,85,CHA,CHH,2001
57,"Mon, Feb 26, 2001",Indiana Pacers,W,31,26,82,72,CHA,CHH,2001
58,"Wed, Feb 28, 2001",New Jersey Nets,W,32,26,91,88,CHA,CHH,2001
59,"Fri, Mar 2, 2001",Atlanta Hawks,W,33,26,105,99,CHA,CHH,2001
60,"Sun, Mar 4, 2001",Boston Celtics,W,34,26,116,97,CHA,CHH,2001
61,"Tue, Mar 6, 2001",Minnesota Timberwolves,L,34,27,89,95,CHA,CHH,2001
62,"Thu, Mar 8, 2001",Orlando Magic,W,35,27,97,84,CHA,CHH,2001
63,"Sat, Mar 10, 2001",Milwaukee Bucks,W,36,27,100,90,CHA,CHH,2001
64,"Mon, Mar 12, 2001",Chicago Bulls,W,37,27,102,94,CHA,CHH,2001
65,"Wed, Mar 14, 2001",Vancouver Grizzlies,W,38,27,100,95,CHA,CHH,2001
66,"Fri, Mar 16, 2001",Cleveland Cavaliers,L,38,28,109,114,CHA,CHH,2001
67,"Sat, Mar 17, 2001",Washington Wizards,W,39,28,95,93,CHA,CHH,2001
68,"Wed, Mar 21, 2001",Toronto Raptors,W,40,28,111,95,CHA,CHH,2001
69,"Fri, Mar 23, 2001",Chicago Bulls,L,40,29,90,93,CHA,CHH,2001
70,"Sat, Mar 24, 2001",Dallas Mavericks,L,40,30,100,103,CHA,CHH,2001
71,"Tue, Mar 27, 2001",San Antonio Spurs,L,40,31,79,93,CHA,CHH,2001
72,"Fri, Mar 30, 2001",Denver Nuggets,L,40,32,96,103,CHA,CHH,2001
73,"Sun, Apr 1, 2001",Boston Celtics,W,41,32,80,79,CHA,CHH,2001
74,"Tue, Apr 3, 2001",New Jersey Nets,W,42,32,103,88,CHA,CHH,2001
75,"Wed, Apr 4, 2001",Phoenix Suns,L,42,33,94,103,CHA,CHH,2001
76,"Fri, Apr 6, 2001",Miami Heat,L,42,34,76,81,CHA,CHH,2001
77,"Sat, Apr 7, 2001",Detroit Pistons,L,42,35,92,97,CHA,CHH,2001
78,"Mon, Apr 9, 2001",New York Knicks,L,42,36,98,113,CHA,CHH,2001
79,"Thu, Apr 12, 2001",New Jersey Nets,W,43,36,88,78,CHA,CHH,2001
80,"Sun, Apr 15, 2001",Detroit Pistons,W,44,36,99,90,CHA,CHH,2001
81,"Mon, Apr 16, 2001",Atlanta Hawks,W,45,36,106,83,CHA,CHH,2001
82,"Wed, Apr 18, 2001",Boston Celtics,W,46,36,97,92,CHA,CHH,2001
1,"Wed, Oct 31, 2001",Cleveland Cavaliers,W,1,0,100,94,CHA,CHH,2002
2,"Fri, Nov 2, 2001",New York Knicks,W,2,0,97,93,CHA,CHH,2002
3,"Sat, Nov 3, 2001",New Jersey Nets,L,2,1,85,95,CHA,CHH,2002
4,"Tue, Nov 6, 2001",Dallas Mavericks,L,2,2,92,110,CHA,CHH,2002
5,"Thu, Nov 8, 2001",San Antonio Spurs,L,2,3,95,105,CHA,CHH,2002
6,"Sat, Nov 10, 2001",Chicago Bulls,W,3,3,89,85,CHA,CHH,2002
7,"Wed, Nov 14, 2001",Philadelphia 76ers,L,3,4,86,100,CHA,CHH,2002
8,"Fri, Nov 16, 2001",Miami Heat,W,4,4,96,87,CHA,CHH,2002
9,"Sat, Nov 17, 2001",Portland Trail Blazers,L,4,5,87,97,CHA,CHH,2002
10,"Tue, Nov 20, 2001",Washington Wizards,W,5,5,95,88,CHA,CHH,2002
11,"Wed, Nov 21, 2001",Dallas Mavericks,L,5,6,78,89,CHA,CHH,2002
12,"Fri, Nov 23, 2001",Orlando Magic,L,5,7,99,109,CHA,CHH,2002
13,"Sat, Nov 24, 2001",Orlando Magic,W,6,7,103,101,CHA,CHH,2002
14,"Wed, Nov 28, 2001",Detroit Pistons,W,7,7,104,96,CHA,CHH,2002
15,"Fri, Nov 30, 2001",Detroit Pistons,L,7,8,105,110,CHA,CHH,2002
16,"Sat, Dec 1, 2001",Cleveland Cavaliers,L,7,9,81,93,CHA,CHH,2002
17,"Tue, Dec 4, 2001",Utah Jazz,L,7,10,100,104,CHA,CHH,2002
18,"Thu, Dec 6, 2001",Portland Trail Blazers,W,8,10,95,89,CHA,CHH,2002
19,"Fri, Dec 7, 2001",Golden State Warriors,W,9,10,106,89,CHA,CHH,2002
20,"Sun, Dec 9, 2001",Los Angeles Clippers,L,9,11,78,89,CHA,CHH,2002
21,"Tue, Dec 11, 2001",Denver Nuggets,W,10,11,99,96,CHA,CHH,2002
22,"Thu, Dec 13, 2001",Toronto Raptors,W,11,11,104,90,CHA,CHH,2002
23,"Sat, Dec 15, 2001",Boston Celtics,L,11,12,97,106,CHA,CHH,2002
24,"Tue, Dec 18, 2001",New York Knicks,L,11,13,95,100,CHA,CHH,2002
25,"Wed, Dec 19, 2001",Philadelphia 76ers,W,12,13,94,85,CHA,CHH,2002
26,"Fri, Dec 21, 2001",Minnesota Timberwolves,L,12,14,89,94,CHA,CHH,2002
27,"Sat, Dec 22, 2001",Atlanta Hawks,L,12,15,88,101,CHA,CHH,2002
28,"Wed, Dec 26, 2001",Washington Wizards,W,13,15,99,93,CHA,CHH,2002
29,"Fri, Dec 28, 2001",Milwaukee Bucks,L,13,16,89,105,CHA,CHH,2002
30,"Sat, Dec 29, 2001",Washington Wizards,L,13,17,90,107,CHA,CHH,2002
31,"Thu, Jan 3, 2002",Golden State Warriors,W,14,17,114,102,CHA,CHH,2002
32,"Sat, Jan 5, 2002",New Jersey Nets,L,14,18,80,89,CHA,CHH,2002
33,"Mon, Jan 7, 2002",Denver Nuggets,W,15,18,94,80,CHA,CHH,2002
34,"Wed, Jan 9, 2002",Atlanta Hawks,W,16,18,111,87,CHA,CHH,2002
35,"Fri, Jan 11, 2002",Los Angeles Clippers,W,17,18,92,91,CHA,CHH,2002
36,"Sat, Jan 12, 2002",Detroit Pistons,L,17,19,76,104,CHA,CHH,2002
37,"Tue, Jan 15, 2002",Chicago Bulls,W,18,19,94,86,CHA,CHH,2002
38,"Thu, Jan 17, 2002",Philadelphia 76ers,L,18,20,88,93,CHA,CHH,2002
39,"Sat, Jan 19, 2002",Toronto Raptors,L,18,21,89,91,CHA,CHH,2002
40,"Mon, Jan 21, 2002",New York Knicks,W,19,21,111,68,CHA,CHH,2002
41,"Wed, Jan 23, 2002",Seattle SuperSonics,W,20,21,111,101,CHA,CHH,2002
42,"Fri, Jan 25, 2002",Indiana Pacers,L,20,22,81,90,CHA,CHH,2002
43,"Sat, Jan 26, 2002",Houston Rockets,L,20,23,104,111,CHA,CHH,2002
44,"Tue, Jan 29, 2002",San Antonio Spurs,W,21,23,78,73,CHA,CHH,2002
45,"Fri, Feb 1, 2002",Houston Rockets,W,22,23,73,72,CHA,CHH,2002
46,"Sun, Feb 3, 2002",Memphis Grizzlies,W,23,23,97,79,CHA,CHH,2002
47,"Tue, Feb 5, 2002",Boston Celtics,L,23,24,79,82,CHA,CHH,2002
48,"Thu, Feb 7, 2002",Philadelphia 76ers,L,23,25,93,100,CHA,CHH,2002
49,"Wed, Feb 13, 2002",Chicago Bulls,W,24,25,113,91,CHA,CHH,2002
50,"Fri, Feb 15, 2002",Indiana Pacers,W,25,25,116,106,CHA,CHH,2002
51,"Sun, Feb 17, 2002",Memphis Grizzlies,L,25,26,78,92,CHA,CHH,2002
52,"Mon, Feb 18, 2002",Milwaukee Bucks,W,26,26,101,92,CHA,CHH,2002
53,"Wed, Feb 20, 2002",Toronto Raptors,W,27,26,78,77,CHA,CHH,2002
54,"Fri, Feb 22, 2002",Los Angeles Lakers,L,27,27,94,96,CHA,CHH,2002
55,"Sun, Feb 24, 2002",New Jersey Nets,L,27,28,93,95,CHA,CHH,2002
56,"Mon, Feb 25, 2002",Minnesota Timberwolves,L,27,29,92,97,CHA,CHH,2002
57,"Wed, Feb 27, 2002",New Jersey Nets,W,28,29,104,85,CHA,CHH,2002
58,"Fri, Mar 1, 2002",Boston Celtics,W,29,29,100,87,CHA,CHH,2002
59,"Sun, Mar 3, 2002",Detroit Pistons,L,29,30,81,83,CHA,CHH,2002
60,"Thu, Mar 7, 2002",Seattle SuperSonics,L,29,31,89,92,CHA,CHH,2002
61,"Fri, Mar 8, 2002",Sacramento Kings,L,29,32,87,99,CHA,CHH,2002
62,"Sun, Mar 10, 2002",Phoenix Suns,W,30,32,88,82,CHA,CHH,2002
63,"Tue, Mar 12, 2002",Los Angeles Lakers,L,30,33,66,107,CHA,CHH,2002
64,"Thu, Mar 14, 2002",Utah Jazz,W,31,33,100,82,CHA,CHH,2002
65,"Sat, Mar 16, 2002",Phoenix Suns,W,32,33,87,76,CHA,CHH,2002
66,"Mon, Mar 18, 2002",Milwaukee Bucks,W,33,33,113,110,CHA,CHH,2002
67,"Wed, Mar 20, 2002",Indiana Pacers,W,34,33,94,88,CHA,CHH,2002
68,"Fri, Mar 22, 2002",Orlando Magic,W,35,33,106,92,CHA,CHH,2002
69,"Sun, Mar 24, 2002",Indiana Pacers,W,36,33,99,84,CHA,CHH,2002
70,"Wed, Mar 27, 2002",Orlando Magic,W,37,33,111,104,CHA,CHH,2002
71,"Fri, Mar 29, 2002",Sacramento Kings,L,37,34,87,92,CHA,CHH,2002
72,"Sat, Mar 30, 2002",Cleveland Cavaliers,W,38,34,93,85,CHA,CHH,2002
73,"Tue, Apr 2, 2002",New York Knicks,L,38,35,85,91,CHA,CHH,2002
74,"Wed, Apr 3, 2002",Miami Heat,W,39,35,97,90,CHA,CHH,2002
75,"Fri, Apr 5, 2002",Washington Wizards,W,40,35,97,91,CHA,CHH,2002
76,"Sat, Apr 6, 2002",Atlanta Hawks,W,41,35,93,86,CHA,CHH,2002
77,"Tue, Apr 9, 2002",Toronto Raptors,L,41,36,80,84,CHA,CHH,2002
78,"Wed, Apr 10, 2002",Atlanta Hawks,L,41,37,95,101,CHA,CHH,2002
79,"Fri, Apr 12, 2002",Cleveland Cavaliers,W,42,37,112,100,CHA,CHH,2002
80,"Sun, Apr 14, 2002",Milwaukee Bucks,L,42,38,91,98,CHA,CHH,2002
81,"Tue, Apr 16, 2002",Miami Heat,W,43,38,88,81,CHA,CHH,2002
82,"Wed, Apr 17, 2002",Chicago Bulls,W,44,38,112,106,CHA,CHH,2002
1,"Thu, Nov 4, 2004",Washington Wizards,L,0,1,96,103,CHA,CHA,2005
2,"Sat, Nov 6, 2004",Orlando Magic,W,1,1,111,100,CHA,CHA,2005
3,"Wed, Nov 10, 2004",Milwaukee Bucks,L,1,2,100,102,CHA,CHA,2005
4,"Fri, Nov 12, 2004",Boston Celtics,L,1,3,74,91,CHA,CHA,2005
5,"Sat, Nov 13, 2004",Golden State Warriors,L,1,4,87,103,CHA,CHA,2005
6,"Tue, Nov 16, 2004",Utah Jazz,L,1,5,105,107,CHA,CHA,2005
7,"Thu, Nov 18, 2004",Cleveland Cavaliers,L,1,6,89,106,CHA,CHA,2005
8,"Sat, Nov 20, 2004",Cleveland Cavaliers,L,1,7,84,100,CHA,CHA,2005
9,"Sun, Nov 21, 2004",Detroit Pistons,L,1,8,116,117,CHA,CHA,2005
10,"Tue, Nov 23, 2004",Detroit Pistons,W,2,8,91,89,CHA,CHA,2005
11,"Fri, Nov 26, 2004",Indiana Pacers,L,2,9,77,82,CHA,CHA,2005
12,"Sat, Nov 27, 2004",Atlanta Hawks,W,3,9,107,92,CHA,CHA,2005
13,"Tue, Nov 30, 2004",New Jersey Nets,L,3,10,86,99,CHA,CHA,2005
14,"Sat, Dec 4, 2004",New York Knicks,W,4,10,107,101,CHA,CHA,2005
15,"Mon, Dec 6, 2004",Los Angeles Clippers,L,4,11,93,99,CHA,CHA,2005
16,"Tue, Dec 7, 2004",Sacramento Kings,L,4,12,92,109,CHA,CHA,2005
17,"Fri, Dec 10, 2004",Phoenix Suns,L,4,13,106,115,CHA,CHA,2005
18,"Sun, Dec 12, 2004",Golden State Warriors,L,4,14,87,99,CHA,CHA,2005
19,"Tue, Dec 14, 2004",New Orleans Hornets,W,5,14,94,93,CHA,CHA,2005
20,"Sat, Dec 18, 2004",Houston Rockets,W,6,14,101,100,CHA,CHA,2005
21,"Tue, Dec 21, 2004",New Jersey Nets,L,6,15,91,94,CHA,CHA,2005
22,"Wed, Dec 22, 2004",Houston Rockets,W,7,15,90,87,CHA,CHA,2005
23,"Sun, Dec 26, 2004",New York Knicks,L,7,16,82,91,CHA,CHA,2005
24,"Mon, Dec 27, 2004",Washington Wizards,L,7,17,87,106,CHA,CHA,2005
25,"Wed, Dec 29, 2004",Indiana Pacers,L,7,18,71,74,CHA,CHA,2005
26,"Fri, Dec 31, 2004",Seattle SuperSonics,L,7,19,97,103,CHA,CHA,2005
27,"Sat, Jan 1, 2005",Miami Heat,L,7,20,90,113,CHA,CHA,2005
28,"Mon, Jan 3, 2005",Cleveland Cavaliers,L,7,21,83,94,CHA,CHA,2005
29,"Wed, Jan 5, 2005",Minnesota Timberwolves,W,8,21,102,84,CHA,CHA,2005
30,"Fri, Jan 7, 2005",Orlando Magic,L,8,22,91,111,CHA,CHA,2005
31,"Tue, Jan 11, 2005",Cleveland Cavaliers,L,8,23,98,100,CHA,CHA,2005
32,"Fri, Jan 14, 2005",Memphis Grizzlies,L,8,24,89,109,CHA,CHA,2005
33,"Sat, Jan 15, 2005",Atlanta Hawks,L,8,25,95,103,CHA,CHA,2005
34,"Mon, Jan 17, 2005",Milwaukee Bucks,L,8,26,92,99,CHA,CHA,2005
35,"Wed, Jan 19, 2005",Philadelphia 76ers,L,8,27,105,107,CHA,CHA,2005
36,"Fri, Jan 21, 2005",Dallas Mavericks,L,8,28,99,105,CHA,CHA,2005
37,"Sun, Jan 23, 2005",Toronto Raptors,L,8,29,92,103,CHA,CHA,2005
38,"Tue, Jan 25, 2005",Boston Celtics,L,8,30,92,97,CHA,CHA,2005
39,"Thu, Jan 27, 2005",Chicago Bulls,L,8,31,93,101,CHA,CHA,2005
40,"Fri, Jan 28, 2005",Toronto Raptors,W,9,31,101,94,CHA,CHA,2005
41,"Sun, Jan 30, 2005",Los Angeles Lakers,L,9,32,90,101,CHA,CHA,2005
42,"Tue, Feb 1, 2005",Utah Jazz,W,10,32,109,105,CHA,CHA,2005
43,"Fri, Feb 4, 2005",Portland Trail Blazers,L,10,33,89,101,CHA,CHA,2005
44,"Sat, Feb 5, 2005",Seattle SuperSonics,L,10,34,99,113,CHA,CHA,2005
45,"Tue, Feb 8, 2005",San Antonio Spurs,L,10,35,85,104,CHA,CHA,2005
46,"Wed, Feb 9, 2005",Indiana Pacers,L,10,36,87,94,CHA,CHA,2005
47,"Fri, Feb 11, 2005",Miami Heat,L,10,37,87,97,CHA,CHA,2005
48,"Sun, Feb 13, 2005",New York Knicks,L,10,38,99,102,CHA,CHA,2005
49,"Mon, Feb 14, 2005",Portland Trail Blazers,L,10,39,77,80,CHA,CHA,2005
50,"Wed, Feb 16, 2005",Denver Nuggets,W,11,39,94,88,CHA,CHA,2005
51,"Tue, Feb 22, 2005",Milwaukee Bucks,L,11,40,102,112,CHA,CHA,2005
52,"Fri, Feb 25, 2005",New Jersey Nets,L,11,41,86,93,CHA,CHA,2005
53,"Sat, Feb 26, 2005",Chicago Bulls,L,11,42,90,94,CHA,CHA,2005
54,"Tue, Mar 1, 2005",Sacramento Kings,W,12,42,94,87,CHA,CHA,2005
55,"Wed, Mar 2, 2005",New Orleans Hornets,L,12,43,85,94,CHA,CHA,2005
56,"Fri, Mar 4, 2005",Boston Celtics,L,12,44,84,104,CHA,CHA,2005
57,"Sat, Mar 5, 2005",Washington Wizards,L,12,45,84,86,CHA,CHA,2005
58,"Tue, Mar 8, 2005",Minnesota Timberwolves,L,12,46,97,102,CHA,CHA,2005
59,"Fri, Mar 11, 2005",Philadelphia 76ers,L,12,47,80,112,CHA,CHA,2005
60,"Sat, Mar 12, 2005",Los Angeles Lakers,L,12,48,116,117,CHA,CHA,2005
61,"Mon, Mar 14, 2005",Boston Celtics,L,12,49,110,119,CHA,CHA,2005
62,"Wed, Mar 16, 2005",Denver Nuggets,L,12,50,101,120,CHA,CHA,2005
63,"Fri, Mar 18, 2005",San Antonio Spurs,L,12,51,76,93,CHA,CHA,2005
64,"Sat, Mar 19, 2005",Dallas Mavericks,L,12,52,93,104,CHA,CHA,2005
65,"Mon, Mar 21, 2005",Orlando Magic,W,13,52,102,97,CHA,CHA,2005
66,"Wed, Mar 23, 2005",Phoenix Suns,L,13,53,105,120,CHA,CHA,2005
67,"Thu, Mar 24, 2005",Orlando Magic,W,14,53,108,94,CHA,CHA,2005
68,"Sat, Mar 26, 2005",Miami Heat,W,15,53,94,92,CHA,CHA,2005
69,"Mon, Mar 28, 2005",New Jersey Nets,L,15,54,91,95,CHA,CHA,2005
70,"Wed, Mar 30, 2005",Chicago Bulls,L,15,55,99,102,CHA,CHA,2005
71,"Fri, Apr 1, 2005",Toronto Raptors,L,15,56,107,119,CHA,CHA,2005
72,"Sat, Apr 2, 2005",Chicago Bulls,L,15,57,97,112,CHA,CHA,2005
73,"Tue, Apr 5, 2005",Los Angeles Clippers,L,15,58,102,104,CHA,CHA,2005
74,"Wed, Apr 6, 2005",Philadelphia 76ers,L,15,59,103,106,CHA,CHA,2005
75,"Fri, Apr 8, 2005",Milwaukee Bucks,L,15,60,75,93,CHA,CHA,2005
76,"Sun, Apr 10, 2005",Memphis Grizzlies,L,15,61,95,102,CHA,CHA,2005
77,"Mon, Apr 11, 2005",Atlanta Hawks,W,16,61,110,105,CHA,CHA,2005
78,"Wed, Apr 13, 2005",Atlanta Hawks,W,17,61,105,84,CHA,CHA,2005
79,"Sat, Apr 16, 2005",New York Knicks,L,17,62,98,100,CHA,CHA,2005
80,"Sun, Apr 17, 2005",Washington Wizards,L,17,63,104,106,CHA,CHA,2005
81,"Tue, Apr 19, 2005",Miami Heat,L,17,64,80,99,CHA,CHA,2005
82,"Wed, Apr 20, 2005",Detroit Pistons,W,18,64,97,86,CHA,CHA,2005
1,"Wed, Nov 2, 2005",Chicago Bulls,L,0,1,105,109,CHA,CHA,2006
2,"Fri, Nov 4, 2005",Philadelphia 76ers,W,1,1,110,93,CHA,CHA,2006
3,"Sat, Nov 5, 2005",Boston Celtics,W,2,1,107,105,CHA,CHA,2006
4,"Mon, Nov 7, 2005",Utah Jazz,L,2,2,91,95,CHA,CHA,2006
5,"Wed, Nov 9, 2005",San Antonio Spurs,L,2,3,86,94,CHA,CHA,2006
6,"Fri, Nov 11, 2005",Dallas Mavericks,L,2,4,88,98,CHA,CHA,2006
7,"Sat, Nov 12, 2005",Miami Heat,L,2,5,99,108,CHA,CHA,2006
8,"Tue, Nov 15, 2005",Orlando Magic,L,2,6,77,85,CHA,CHA,2006
9,"Wed, Nov 16, 2005",Indiana Pacers,W,3,6,122,90,CHA,CHA,2006
10,"Fri, Nov 18, 2005",Indiana Pacers,L,3,7,85,93,CHA,CHA,2006
11,"Sat, Nov 19, 2005",Minnesota Timberwolves,L,3,8,89,102,CHA,CHA,2006
12,"Wed, Nov 23, 2005",New York Knicks,W,4,8,108,95,CHA,CHA,2006
13,"Fri, Nov 25, 2005",Boston Celtics,L,4,9,89,90,CHA,CHA,2006
14,"Sat, Nov 26, 2005",Washington Wizards,W,5,9,100,82,CHA,CHA,2006
15,"Tue, Nov 29, 2005",Sacramento Kings,L,5,10,92,110,CHA,CHA,2006
16,"Wed, Nov 30, 2005",Seattle SuperSonics,L,5,11,94,104,CHA,CHA,2006
17,"Fri, Dec 2, 2005",Golden State Warriors,L,5,12,100,107,CHA,CHA,2006
18,"Sun, Dec 4, 2005",Los Angeles Lakers,L,5,13,98,99,CHA,CHA,2006
19,"Wed, Dec 7, 2005",New Jersey Nets,L,5,14,84,97,CHA,CHA,2006
20,"Fri, Dec 9, 2005",Philadelphia 76ers,L,5,15,115,119,CHA,CHA,2006
21,"Sat, Dec 10, 2005",Toronto Raptors,L,5,16,103,111,CHA,CHA,2006
22,"Tue, Dec 13, 2005",Denver Nuggets,L,5,17,85,101,CHA,CHA,2006
23,"Wed, Dec 14, 2005",New Jersey Nets,W,6,17,91,83,CHA,CHA,2006
24,"Sat, Dec 17, 2005",Detroit Pistons,L,6,18,78,103,CHA,CHA,2006
25,"Mon, Dec 19, 2005",Sacramento Kings,W,7,18,106,103,CHA,CHA,2006
26,"Tue, Dec 20, 2005",Chicago Bulls,W,8,18,105,92,CHA,CHA,2006
27,"Fri, Dec 23, 2005",Los Angeles Clippers,L,8,19,88,97,CHA,CHA,2006
28,"Tue, Dec 27, 2005",Atlanta Hawks,W,9,19,93,90,CHA,CHA,2006
29,"Wed, Dec 28, 2005",Chicago Bulls,W,10,19,93,80,CHA,CHA,2006
30,"Fri, Dec 30, 2005",Phoenix Suns,L,10,20,100,110,CHA,CHA,2006
31,"Mon, Jan 2, 2006",New Orleans/Oklahoma City Hornets,L,10,21,86,103,CHA,CHA,2006
32,"Wed, Jan 4, 2006",Boston Celtics,L,10,22,106,109,CHA,CHA,2006
33,"Sat, Jan 7, 2006",Orlando Magic,L,10,23,92,108,CHA,CHA,2006
34,"Tue, Jan 10, 2006",Houston Rockets,W,11,23,111,106,CHA,CHA,2006
35,"Wed, Jan 11, 2006",Toronto Raptors,L,11,24,86,95,CHA,CHA,2006
36,"Fri, Jan 13, 2006",Milwaukee Bucks,L,11,25,102,103,CHA,CHA,2006
37,"Sat, Jan 14, 2006",Detroit Pistons,L,11,26,91,114,CHA,CHA,2006
38,"Mon, Jan 16, 2006",New Orleans/Oklahoma City Hornets,L,11,27,92,107,CHA,CHA,2006
39,"Wed, Jan 18, 2006",Indiana Pacers,L,11,28,92,98,CHA,CHA,2006
40,"Fri, Jan 20, 2006",Orlando Magic,L,11,29,93,104,CHA,CHA,2006
41,"Sat, Jan 21, 2006",Milwaukee Bucks,L,11,30,91,101,CHA,CHA,2006
42,"Tue, Jan 24, 2006",San Antonio Spurs,L,11,31,76,104,CHA,CHA,2006
43,"Wed, Jan 25, 2006",Houston Rockets,L,11,32,78,102,CHA,CHA,2006
44,"Fri, Jan 27, 2006",Miami Heat,L,11,33,85,91,CHA,CHA,2006
45,"Sat, Jan 28, 2006",Washington Wizards,L,11,34,97,107,CHA,CHA,2006
46,"Mon, Jan 30, 2006",Cleveland Cavaliers,L,11,35,91,103,CHA,CHA,2006
47,"Wed, Feb 1, 2006",Atlanta Hawks,L,11,36,92,102,CHA,CHA,2006
48,"Fri, Feb 3, 2006",Los Angeles Lakers,W,12,36,112,102,CHA,CHA,2006
49,"Mon, Feb 6, 2006",Seattle SuperSonics,W,13,36,119,106,CHA,CHA,2006
50,"Wed, Feb 8, 2006",Philadelphia 76ers,W,14,36,100,92,CHA,CHA,2006
51,"Fri, Feb 10, 2006",Toronto Raptors,L,14,37,73,88,CHA,CHA,2006
52,"Sat, Feb 11, 2006",Milwaukee Bucks,L,14,38,93,99,CHA,CHA,2006
53,"Mon, Feb 13, 2006",Portland Trail Blazers,L,14,39,83,91,CHA,CHA,2006
54,"Wed, Feb 15, 2006",New Jersey Nets,L,14,40,94,95,CHA,CHA,2006
55,"Tue, Feb 21, 2006",Denver Nuggets,L,14,41,84,100,CHA,CHA,2006
56,"Wed, Feb 22, 2006",Portland Trail Blazers,W,15,41,110,106,CHA,CHA,2006
57,"Sat, Feb 25, 2006",Phoenix Suns,L,15,42,121,136,CHA,CHA,2006
58,"Mon, Feb 27, 2006",Los Angeles Clippers,L,15,43,87,95,CHA,CHA,2006
59,"Wed, Mar 1, 2006",Utah Jazz,W,16,43,104,89,CHA,CHA,2006
60,"Fri, Mar 3, 2006",Dallas Mavericks,L,16,44,76,90,CHA,CHA,2006
61,"Mon, Mar 6, 2006",Miami Heat,L,16,45,105,106,CHA,CHA,2006
62,"Wed, Mar 8, 2006",Golden State Warriors,W,17,45,104,101,CHA,CHA,2006
63,"Sat, Mar 11, 2006",New York Knicks,W,18,45,116,109,CHA,CHA,2006
64,"Sun, Mar 12, 2006",Detroit Pistons,L,18,46,78,94,CHA,CHA,2006
65,"Tue, Mar 14, 2006",Washington Wizards,L,18,47,114,119,CHA,CHA,2006
66,"Wed, Mar 15, 2006",Washington Wizards,L,18,48,99,107,CHA,CHA,2006
67,"Sat, Mar 18, 2006",Detroit Pistons,L,18,49,103,108,CHA,CHA,2006
68,"Tue, Mar 21, 2006",Orlando Magic,W,19,49,108,102,CHA,CHA,2006
69,"Wed, Mar 22, 2006",Cleveland Cavaliers,L,19,50,118,120,CHA,CHA,2006
70,"Fri, Mar 24, 2006",Miami Heat,L,19,51,93,114,CHA,CHA,2006
71,"Sun, Mar 26, 2006",Memphis Grizzlies,L,19,52,95,102,CHA,CHA,2006
72,"Tue, Mar 28, 2006",Atlanta Hawks,W,20,52,125,117,CHA,CHA,2006
73,"Fri, Mar 31, 2006",Chicago Bulls,L,20,53,107,113,CHA,CHA,2006
74,"Sun, Apr 2, 2006",Cleveland Cavaliers,L,20,54,97,101,CHA,CHA,2006
75,"Tue, Apr 4, 2006",Minnesota Timberwolves,W,21,54,97,92,CHA,CHA,2006
76,"Thu, Apr 6, 2006",New Jersey Nets,L,21,55,102,113,CHA,CHA,2006
77,"Sun, Apr 9, 2006",Toronto Raptors,W,22,55,94,88,CHA,CHA,2006
78,"Wed, Apr 12, 2006",Memphis Grizzlies,L,22,56,88,96,CHA,CHA,2006
79,"Fri, Apr 14, 2006",Atlanta Hawks,W,23,56,116,110,CHA,CHA,2006
80,"Sat, Apr 15, 2006",Indiana Pacers,W,24,56,92,91,CHA,CHA,2006
81,"Mon, Apr 17, 2006",New York Knicks,W,25,56,98,91,CHA,CHA,2006
82,"Wed, Apr 19, 2006",Philadelphia 76ers,W,26,56,96,86,CHA,CHA,2006
1,"Wed, Nov 1, 2006",Indiana Pacers,L,0,1,99,106,CHA,CHA,2007
2,"Fri, Nov 3, 2006",Memphis Grizzlies,L,0,2,83,96,CHA,CHA,2007
3,"Sat, Nov 4, 2006",Cleveland Cavaliers,W,1,2,92,88,CHA,CHA,2007
4,"Wed, Nov 8, 2006",Boston Celtics,L,1,3,108,110,CHA,CHA,2007
5,"Fri, Nov 10, 2006",Seattle SuperSonics,L,1,4,85,99,CHA,CHA,2007
6,"Sun, Nov 12, 2006",Denver Nuggets,L,1,5,101,108,CHA,CHA,2007
7,"Tue, Nov 14, 2006",New Orleans/Oklahoma City Hornets,L,1,6,85,94,CHA,CHA,2007
8,"Wed, Nov 15, 2006",San Antonio Spurs,W,2,6,95,92,CHA,CHA,2007
9,"Sat, Nov 18, 2006",Orlando Magic,L,2,7,83,97,CHA,CHA,2007
10,"Mon, Nov 20, 2006",Dallas Mavericks,L,2,8,85,93,CHA,CHA,2007
11,"Wed, Nov 22, 2006",Boston Celtics,W,3,8,92,83,CHA,CHA,2007
12,"Fri, Nov 24, 2006",Detroit Pistons,L,3,9,95,104,CHA,CHA,2007
13,"Sat, Nov 25, 2006",Miami Heat,L,3,10,93,102,CHA,CHA,2007
